filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
brown (84).jpg,Make Up For Ever,Ultra HD,d69b81,1.85,Make Up For Ever,Ultra HD,d59682,1.85,Make Up For Ever,Ultra HD,d79e89,1.85
brown (85).jpg,Make Up For Ever,Ultra HD,d69b81,3.95,Make Up For Ever,Ultra HD,d19578,3.95,Make Up For Ever,Ultra HD,d9a586,3.95
brown (86).jpg,L'Oréal,Infalliable,e5ad8b,2.66,Maybelline,Fit Me,f0b996,2.66,Maybelline,Fit Me Matte,efb793,2.66
brown (87).jpg,Maybelline,Fit Me,bd9584,2.73,Maybelline,Fit Me,b2856f,2.73,Maybelline,Fit Me,c7967d,2.73
brown (88).jpg,Maybelline,Fit Me,bd9584,2.96,Maybelline,Fit Me,c7967d,2.96,Make Up For Ever,Ultra HD,c99980,2.96
brown (89).jpg,Maybelline,Fit Me,bd9584,5.66,Maybelline,Fit Me,b2856f,5.66,Maybelline,Fit Me,c1a07e,5.66
brown (9).jpg,MAC,Studio Fix,b9855a,1.07,MAC,Studio Fix,b5855a,1.07,MAC,Studio Fix,b28050,1.07
brown (90).jpg,Make Up For Ever,Ultra HD,dca795,2.7,Make Up For Ever,Ultra HD,e3b296,2.7,L'Oréal,Infalliable,deb09e,2.7
brown (91).jpg,Make Up For Ever,Ultra HD,d69b81,4.47,Make Up For Ever,Ultra HD,d59682,4.47,Make Up For Ever,Ultra HD,d19578,4.47
brown (92).jpg,Maybelline,Fit Me Matte,ebba8a,3.57,Maybelline,Fit Me Matte,ebba8a,3.57,Maybelline,Fit Me Matte,f3b989,3.57
brown (93).jpg,Make Up For Ever,Ultra HD,d59682,6.12,Make Up For Ever,Ultra HD,d79e89,6.12,Make Up For Ever,Ultra HD,dca795,6.12
brown (94).jpg,Make Up For Ever,Ultra HD,dca795,1.24,L'Oréal,Infalliable,deb09e,1.24,L'Oréal,Infalliable,d1a396,1.24
brown (95).jpg,Maybelline,Fit Me,84583f,3.69,Maybelline,Fit Me,7f5c3b,3.69,Maybelline,Fit Me,9d7359,3.69
brown (96).jpg,L'Oréal,Infalliable,deb09e,2.49,L'Oréal,Infalliable,d1a396,2.49,Make Up For Ever,Ultra HD,dca795,2.49
brown (97).jpg,Make Up For Ever,Ultra HD,dca795,6.56,Make Up For Ever,Ultra HD,f7bcb7,6.56,L'Oréal,Infalliable,deb09e,6.56
brown (98).jpg,Make Up For Ever,Ultra HD,d9a586,1.7,L'Oréal,Infalliable,e5ad8b,1.7,L'Oréal,Infalliable,cf9c7d,1.7
brown (99).jpg,Maybelline,Fit Me Matte,ebba8a,2.96,Maybelline,Fit Me Matte,ebba8a,2.96,Maybelline,Fit Me Matte,f3b989,2.96
white (1).jpg,MAC,Studio Fix,e5d1be,2.19,Maybelline,Fit Me,edcfb9,2.19,L'Oréal,True Match,e7cbb5,2.19
white (10).jpg,L'Oréal,True Match,e8c7b8,8.19,L'Oréal,True Match,e9c4b1,8.19,MAC,Studio Fix,e5d1be,8.19
white (100).jpg,Maybelline,Fit Me,e1bba7,2.31,Make Up For Ever,Ultra HD,eac1ac,2.31,L'Oréal,True Match,e9c4b1,2.31
white (101).jpg,Make Up For Ever,Ultra HD,dca795,3.19,L'Oréal,Infalliable,deb09e,3.19,L'Oréal,Infalliable,d1a396,3.19
white (102).jpg,L'Oréal,Infalliable,fcd6c7,4.84,L'Oréal,True Match,e8c7b8,4.84,MAC,Studio Fix,e5d1be,4.84
white (103).jpg,MAC,Studio Fix,e5d1be,3.28,L'Oréal,True Match,eecfba,3.28,L'Oréal,True Match,e8c7b8,3.28
white (104).jpg,L'Oréal,Infalliable,e5ad8b,4.49,Make Up For Ever,Ultra HD,e3b296,4.49,Maybelline,Fit Me,f0b996,4.49
white (105).jpg,MAC,Studio Fix,e0c8ae,3.12,Make Up For Ever,Ultra HD,e1c2a8,3.12,L'Oréal,True Match,e7cbb5,3.12
white (106).jpg,Maybelline,Fit Me Matte,dcb297,1.1,Maybelline,Fit Me,e2b597,1.1,Make Up For Ever,Ultra HD,ddb395,1.1
white (107).jpg,MAC,Studio Fix,dcbca2,6.53,Make Up For Ever,Ultra HD,dcb59c,6.53,Maybelline,Fit Me,e1bba7,6.53
white (108).jpg,L'Oréal,True Match,e8c7b8,4.93,L'Oréal,True Match,e9c4b1,4.93,MAC,Studio Fix,e0c8ae,4.93
white (109).jpg,Maybelline,Fit Me,e1bba7,3.61,L'Oréal,True Match,e9c4b1,3.61,MAC,Studio Fix,dcbca2,3.61
white (11).jpg,L'Oréal,True Match,e8c7b8,4.52,MAC,Studio Fix,e5d1be,4.52,L'Oréal,True Match,eecfba,4.52
white (110).jpg,L'Oréal,True Match,dcb29a,1.23,L'Oréal,Infalliable,deb09e,1.23,Make Up For Ever,Ultra HD,dcb59c,1.23
white (111).jpg,L'Oréal,Infalliable,d1a396,3.57,L'Oréal,Infalliable,deb09e,3.57,Make Up For Ever,Ultra HD,dca795,3.57
white (112).jpg,Make Up For Ever,Ultra HD,dca795,2.13,Make Up For Ever,Ultra HD,d79e89,2.13,L'Oréal,Infalliable,deb09e,2.13
white (113).jpg,Make Up For Ever,Ultra HD,dcb59c,1.1,L'Oréal,True Match,dcb29a,1.1,Maybelline,Fit Me Matte,dcb297,1.1
white (114).jpg,Make Up For Ever,Ultra HD,eac1ac,1.41,Maybelline,Fit Me,eabda6,1.41,Maybelline,Fit Me,e1bba7,1.41
white (115).jpg,L'Oréal,Infalliable,d1a396,3.38,Make Up For Ever,Ultra HD,dca795,3.38,Make Up For Ever,Ultra HD,d79e89,3.38
white (116).jpg,L'Oréal,True Match,eabea1,1.55,Maybelline,Fit Me,e2b597,1.55,Maybelline,Fit Me Matte,e7b9a2,1.55
white (117).jpg,Maybelline,Fit Me,e1bba7,2.61,L'Oréal,Infalliable,deb09e,2.61,Maybelline,Fit Me Matte,e7b9a2,2.61
white (118).jpg,Maybelline,Fit Me,e1bba7,1.41,Make Up For Ever,Ultra HD,eac1ac,1.41,L'Oréal,True Match,e9c4b1,1.41
white (119).jpg,Make Up For Ever,Ultra HD,be8470,7.45,Maybelline,Fit Me,bd9584,7.45,Maybelline,Fit Me,b2856f,7.45
white (12).jpg,L'Oréal,True Match,e9c4b1,1.87,Maybelline,Fit Me,e1bba7,1.87,Make Up For Ever,Ultra HD,eac1ac,1.87
white (120).jpg,Make Up For Ever,Ultra HD,d59682,8.12,Make Up For Ever,Ultra HD,c78569,8.12,Make Up For Ever,Ultra HD,d69b81,8.12
white (121).jpg,MAC,Studio Fix,e5d1be,3.01,L'Oréal,True Match,e8c7b8,3.01,L'Oréal,True Match,e7cbb5,3.01
white (122).jpg,Maybelline,Fit Me,c09578,3.2,Make Up For Ever,Ultra HD,c7977b,3.2,Maybelline,Fit Me,b2856f,3.2
white (123).jpg,L'Oréal,Infalliable,d1a396,4.77,L'Oréal,Infalliable,deb09e,4.77,Maybelline,Fit Me,e1bba7,4.77
white (124).jpg,Make Up For Ever,Ultra HD,d69b81,1.62,Make Up For Ever,Ultra HD,d79e89,1.62,Make Up For Ever,Ultra HD,d59682,1.62
white (125).jpg,Make Up For Ever,Ultra HD,e4bd9c,1.02,MAC,Studio Fix,d8b593,1.02,MAC,Studio Fix,e0c1a2,1.02
white (13).jpg,Maybelline,Fit Me,e1bba7,1.68,L'Oréal,Infalliable,deb09e,1.68,L'Oréal,True Match,dcb29a,1.68
white (14).jpg,Make Up For Ever,Ultra HD,d79e89,2.09,Make Up For Ever,Ultra HD,dca795,2.09,Make Up For Ever,Ultra HD,d59682,2.09
white (15).jpg,Make Up For Ever,Ultra HD,efd2b8,1.77,Make Up For Ever,Ultra HD,f6d2bb,1.77,Maybelline,Fit Me,edcfb9,1.77
white (16).jpg,Make Up For Ever,Ultra HD,d9a586,1.43,Make Up For Ever,Ultra HD,d4a689,1.43,Make Up For Ever,Ultra HD,d8ab8b,1.43
white (17).jpg,Make Up For Ever,Ultra HD,f2ccb7,1.33,Maybelline,Fit Me Matte,f7d1bc,1.33,L'Oréal,True Match,f0cbb9,1.33
white (18).jpg,Make Up For Ever,Ultra HD,d9a586,1.66,Make Up For Ever,Ultra HD,d4a689,1.66,L'Oréal,Infalliable,e5ad8b,1.66
white (19).jpg,L'Oréal,True Match,e8c7b8,4.5,MAC,Studio Fix,e5d1be,4.5,L'Oréal,True Match,eecfba,4.5
white (2).jpg,Make Up For Ever,Ultra HD,f9e3d5,6.83,MAC,Studio Fix,e5d1be,6.83,Maybelline,Fit Me,ffe0cd,6.83
white (20).jpg,Make Up For Ever,Ultra HD,e8c6a3,2.03,L'Oréal,Infalliable,f3c6a2,2.03,Make Up For Ever,Ultra HD,e4bd9c,2.03
white (21).jpg,MAC,Studio Fix,dbbc9f,2.0,MAC,Studio Fix,dcbca2,2.0,Make Up For Ever,Ultra HD,dcb59c,2.0
white (22).jpg,L'Oréal,Infalliable,deb09e,2.28,L'Oréal,Infalliable,d1a396,2.28,L'Oréal,True Match,dcb29a,2.28
white (23).jpg,MAC,Studio Fix,e5d1be,6.42,L'Oréal,True Match,e8c7b8,6.42,L'Oréal,True Match,eecfba,6.42
white (24).jpg,L'Oréal,True Match,e8c7b8,4.95,L'Oréal,True Match,e9c4b1,4.95,Maybelline,Fit Me,e1bba7,4.95
white (25).jpg,MAC,Studio Fix,dfc7a8,2.89,Make Up For Ever,Ultra HD,efd2b8,2.89,Make Up For Ever,Ultra HD,deccaf,2.89
white (26).jpg,Maybelline,Fit Me,bd9584,2.37,Maybelline,Fit Me,c7967d,2.37,Make Up For Ever,Ultra HD,c99980,2.37
white (27).jpg,MAC,Studio Fix,e0c8ae,2.26,Make Up For Ever,Ultra HD,deccaf,2.26,MAC,Studio Fix,e5d1be,2.26
white (28).jpg,Maybelline,Fit Me,b2856f,5.04,Make Up For Ever,Ultra HD,be8470,5.04,Make Up For Ever,Ultra HD,b68069,5.04
white (29).jpg,Maybelline,Fit Me Matte,dcb297,0.86,Make Up For Ever,Ultra HD,ddb395,0.86,L'Oréal,True Match,ddb496,0.86
white (3).jpg,L'Oréal,True Match,e9c4b1,2.55,L'Oréal,True Match,e8c7b8,2.55,Maybelline,Fit Me,e1bba7,2.55
white (30).jpg,Maybelline,Fit Me,e1bba7,3.17,MAC,Studio Fix,dcbca2,3.17,Make Up For Ever,Ultra HD,e1c2a8,3.17
white (31).jpg,Make Up For Ever,Ultra HD,f9e3d5,5.63,L'Oréal,Infalliable,fcd6c7,5.63,Maybelline,Fit Me,ffe0cd,5.63
white (32).jpg,Make Up For Ever,Ultra HD,f9e3d5,6.83,MAC,Studio Fix,e5d1be,6.83,Maybelline,Fit Me,ffe0cd,6.83
